country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bahrain,11400,,,,,12600,,,,,15300,,,,,16200,,,,,22200,,,,,32300,,,,,35600,,,,,30200,,,,,37500,,,,,41600,,,,,51900,,,,,65300,,,,,71700,,,,,74400,,,,,80900,,,,,96300,,,,,106000,,,,,109000,,,,,113000,,,,,115000,,,,,116000,,,,,110000,,,,,104000,,,,,101000,,,,,101000,,,,,102000,,,,,101000,,,,,99200,,,,,96500,,,,,94400,,,,,93700
Bangladesh,3830000,,,,,4300000,,,,,4830000,,,,,5370000,,,,,5980000,,,,,6630000,,,,,8970000,,,,,10500000,,,,,11400000,,,,,13200000,,,,,14700000,,,,,15500000,,,,,15700000,,,,,16100000,,,,,16100000,,,,,15400000,,,,,14900000,,,,,14500000,,,,,13900000,,,,,13200000,,,,,12500000,,,,,11800000,,,,,11300000,,,,,10800000,,,,,10300000,,,,,9900000,,,,,9500000,,,,,9150000,,,,,8830000,,,,,8540000,,,,,8270000
Barbados,20000,,,,,19500,,,,,20100,,,,,23800,,,,,26100,,,,,28200,,,,,28300,,,,,25800,,,,,25300,,,,,20300,,,,,20200,,,,,19300,,,,,19100,,,,,18400,,,,,18500,,,,,18100,,,,,17800,,,,,17400,,,,,17000,,,,,16600,,,,,16300,,,,,16100,,,,,15900,,,,,15600,,,,,15300,,,,,15000,,,,,14800,,,,,14500,,,,,14300,,,,,14100,,,,,13800
Belarus,786000,,,,,778000,,,,,521000,,,,,595000,,,,,778000,,,,,901000,,,,,850000,,,,,720000,,,,,727000,,,,,738000,,,,,796000,,,,,769000,,,,,605000,,,,,461000,,,,,443000,,,,,512000,,,,,576000,,,,,554000,,,,,512000,,,,,461000,,,,,438000,,,,,454000,,,,,480000,,,,,487000,,,,,467000,,,,,439000,,,,,422000,,,,,422000,,,,,431000,,,,,435000,,,,,427000
Belgium,623000,,,,,576000,,,,,549000,,,,,706000,,,,,718000,,,,,773000,,,,,805000,,,,,728000,,,,,664000,,,,,610000,,,,,609000,,,,,627000,,,,,655000,,,,,631000,,,,,641000,,,,,681000,,,,,688000,,,,,695000,,,,,683000,,,,,671000,,,,,665000,,,,,674000,,,,,687000,,,,,694000,,,,,693000,,,,,686000,,,,,680000,,,,,679000,,,,,682000,,,,,684000,,,,,682000
Belize,6870,,,,,7320,,,,,7790,,,,,10000,,,,,13200,,,,,16100,,,,,17900,,,,,19400,,,,,21000,,,,,22100,,,,,27300,,,,,29900,,,,,34500,,,,,38400,,,,,39900,,,,,38500,,,,,40000,,,,,42500,,,,,43900,,,,,43800,,,,,43000,,,,,42300,,,,,42100,,,,,42000,,,,,41600,,,,,41000,,,,,40100,,,,,39400,,,,,38800,,,,,38300,,,,,37900
Benin,193000,,,,,212000,,,,,242000,,,,,247000,,,,,277000,,,,,317000,,,,,372000,,,,,436000,,,,,511000,,,,,614000,,,,,721000,,,,,848000,,,,,987000,,,,,1130000,,,,,1290000,,,,,1470000,,,,,1650000,,,,,1820000,,,,,2000000,,,,,2170000,,,,,2350000,,,,,2510000,,,,,2660000,,,,,2800000,,,,,2930000,,,,,3050000,,,,,3160000,,,,,3250000,,,,,3330000,,,,,3380000,,,,,3430000
Bhutan,18200,,,,,20700,,,,,23400,,,,,26800,,,,,27600,,,,,33000,,,,,39500,,,,,47400,,,,,56300,,,,,54700,,,,,65400,,,,,78900,,,,,79500,,,,,76100,,,,,71800,,,,,72100,,,,,69400,,,,,69300,,,,,66200,,,,,62100,,,,,58200,,,,,55500,,,,,53900,,,,,52600,,,,,51100,,,,,49100,,,,,47100,,,,,45500,,,,,44500,,,,,43600,,,,,42700
Bolivia,295000,,,,,316000,,,,,374000,,,,,403000,,,,,487000,,,,,531000,,,,,584000,,,,,646000,,,,,720000,,,,,816000,,,,,895000,,,,,950000,,,,,1010000,,,,,1080000,,,,,1120000,,,,,1130000,,,,,1140000,,,,,1180000,,,,,1200000,,,,,1200000,,,,,1200000,,,,,1190000,,,,,1170000,,,,,1150000,,,,,1130000,,,,,1110000,,,,,1080000,,,,,1050000,,,,,1030000,,,,,1000000,,,,,976000
Bosnia and Herzegovina,322000,,,,,339000,,,,,271000,,,,,365000,,,,,417000,,,,,431000,,,,,450000,,,,,412000,,,,,381000,,,,,289000,,,,,283000,,,,,287000,,,,,253000,,,,,233000,,,,,177000,,,,,172000,,,,,162000,,,,,160000,,,,,162000,,,,,156000,,,,,144000,,,,,133000,,,,,128000,,,,,128000,,,,,128000,,,,,125000,,,,,120000,,,,,114000,,,,,110000,,,,,108000,,,,,107000
Botswana,45100,,,,,50300,,,,,51500,,,,,55300,,,,,79100,,,,,93100,,,,,108000,,,,,125000,,,,,150000,,,,,184000,,,,,212000,,,,,213000,,,,,215000,,,,,215000,,,,,216000,,,,,230000,,,,,255000,,,,,256000,,,,,252000,,,,,247000,,,,,244000,,,,,243000,,,,,243000,,,,,241000,,,,,235000,,,,,229000,,,,,224000,,,,,220000,,,,,217000,,,,,214000,,,,,210000
Brazil,5400000,,,,,6390000,,,,,6880000,,,,,8400000,,,,,10200000,,,,,11700000,,,,,13500000,,,,,14300000,,,,,15000000,,,,,16700000,,,,,18100000,,,,,17700000,,,,,17300000,,,,,17400000,,,,,16300000,,,,,15100000,,,,,14800000,,,,,14200000,,,,,13500000,,,,,12800000,,,,,12300000,,,,,11800000,,,,,11300000,,,,,11000000,,,,,10600000,,,,,10300000,,,,,9980000,,,,,9680000,,,,,9440000,,,,,9210000,,,,,8980000
Brunei,4580,,,,,5400,,,,,5990,,,,,7100,,,,,13300,,,,,16600,,,,,20400,,,,,21400,,,,,23500,,,,,27000,,,,,28500,,,,,31800,,,,,35000,,,,,35700,,,,,34100,,,,,31600,,,,,33600,,,,,33200,,,,,32000,,,,,30600,,,,,29400,,,,,28500,,,,,28200,,,,,28000,,,,,27400,,,,,26600,,,,,25700,,,,,25100,,,,,24700,,,,,24400,,,,,24000
Bulgaria,682000,,,,,586000,,,,,591000,,,,,696000,,,,,683000,,,,,652000,,,,,624000,,,,,617000,,,,,642000,,,,,616000,,,,,542000,,,,,509000,,,,,400000,,,,,305000,,,,,312000,,,,,350000,,,,,330000,,,,,317000,,,,,297000,,,,,273000,,,,,257000,,,,,257000,,,,,259000,,,,,253000,,,,,241000,,,,,227000,,,,,217000,,,,,212000,,,,,210000,,,,,207000,,,,,201000
Burkina Faso,440000,,,,,468000,,,,,506000,,,,,532000,,,,,577000,,,,,645000,,,,,717000,,,,,821000,,,,,936000,,,,,1110000,,,,,1300000,,,,,1470000,,,,,1690000,,,,,1970000,,,,,2310000,,,,,2690000,,,,,3020000,,,,,3340000,,,,,3680000,,,,,4030000,,,,,4380000,,,,,4700000,,,,,4970000,,,,,5200000,,,,,5430000,,,,,5610000,,,,,5790000,,,,,5920000,,,,,6020000,,,,,6070000,,,,,6100000
Burundi,234000,,,,,248000,,,,,265000,,,,,287000,,,,,369000,,,,,409000,,,,,447000,,,,,462000,,,,,494000,,,,,611000,,,,,742000,,,,,907000,,,,,1010000,,,,,1040000,,,,,1180000,,,,,1470000,,,,,1750000,,,,,1990000,,,,,2170000,,,,,2330000,,,,,2560000,,,,,2840000,,,,,3110000,,,,,3310000,,,,,3470000,,,,,3620000,,,,,3790000,,,,,3980000,,,,,4130000,,,,,4230000,,,,,4280000
Cambodia,461000,,,,,504000,,,,,550000,,,,,624000,,,,,791000,,,,,842000,,,,,731000,,,,,834000,,,,,897000,,,,,824000,,,,,1620000,,,,,1600000,,,,,1670000,,,,,1570000,,,,,1460000,,,,,1620000,,,,,1710000,,,,,1740000,,,,,1670000,,,,,1620000,,,,,1610000,,,,,1610000,,,,,1590000,,,,,1530000,,,,,1470000,,,,,1420000,,,,,1380000,,,,,1350000,,,,,1310000,,,,,1260000,,,,,1220000
Cameroon,429000,,,,,467000,,,,,501000,,,,,553000,,,,,626000,,,,,710000,,,,,843000,,,,,1000000,,,,,1190000,,,,,1420000,,,,,1710000,,,,,1960000,,,,,2170000,,,,,2400000,,,,,2780000,,,,,3200000,,,,,3570000,,,,,3860000,,,,,4160000,,,,,4460000,,,,,4790000,,,,,5090000,,,,,5380000,,,,,5630000,,,,,5850000,,,,,6030000,,,,,6210000,,,,,6370000,,,,,6490000,,,,,6570000,,,,,6610000
Canada,1080000,,,,,1140000,,,,,1380000,,,,,1780000,,,,,2080000,,,,,2350000,,,,,2410000,,,,,2030000,,,,,1940000,,,,,1980000,,,,,2100000,,,,,2180000,,,,,2230000,,,,,2120000,,,,,1990000,,,,,2190000,,,,,2260000,,,,,2310000,,,,,2330000,,,,,2340000,,,,,2340000,,,,,2380000,,,,,2450000,,,,,2510000,,,,,2550000,,,,,2560000,,,,,2570000,,,,,2580000,,,,,2600000,,,,,2620000,,,,,2630000
Cape Verde,20600,,,,,20300,,,,,14200,,,,,15800,,,,,30200,,,,,30500,,,,,40400,,,,,39200,,,,,36400,,,,,40200,,,,,51000,,,,,60300,,,,,58600,,,,,57600,,,,,55400,,,,,54500,,,,,53600,,,,,54300,,,,,53600,,,,,51600,,,,,49400,,,,,47500,,,,,45900,,,,,44700,,,,,43300,,,,,41900,,,,,40500,,,,,39100,,,,,38000,,,,,37000,,,,,36100
Central African Republic,125000,,,,,132000,,,,,140000,,,,,149000,,,,,170000,,,,,195000,,,,,226000,,,,,262000,,,,,296000,,,,,347000,,,,,402000,,,,,448000,,,,,481000,,,,,516000,,,,,582000,,,,,632000,,,,,668000,,,,,693000,,,,,764000,,,,,836000,,,,,884000,,,,,905000,,,,,918000,,,,,936000,,,,,956000,,,,,972000,,,,,977000,,,,,972000,,,,,960000,,,,,948000,,,,,937000
Chad,239000,,,,,258000,,,,,278000,,,,,303000,,,,,373000,,,,,410000,,,,,441000,,,,,494000,,,,,603000,,,,,723000,,,,,871000,,,,,1070000,,,,,1300000,,,,,1560000,,,,,1840000,,,,,2110000,,,,,2400000,,,,,2690000,,,,,2970000,,,,,3240000,,,,,3480000,,,,,3700000,,,,,3900000,,,,,4070000,,,,,4230000,,,,,4360000,,,,,4480000,,,,,4560000,,,,,4620000,,,,,4660000,,,,,4670000
Chile,587000,,,,,622000,,,,,737000,,,,,823000,,,,,1010000,,,,,1120000,,,,,1220000,,,,,1280000,,,,,1250000,,,,,1230000,,,,,1310000,,,,,1420000,,,,,1400000,,,,,1330000,,,,,1270000,,,,,1260000,,,,,1220000,,,,,1190000,,,,,1170000,,,,,1140000,,,,,1100000,,,,,1070000,,,,,1050000,,,,,1030000,,,,,1010000,,,,,992000,,,,,971000,,,,,949000,,,,,931000,,,,,915000,,,,,899000
China,52200000,,,,,53400000,,,,,54100000,,,,,67100000,,,,,91900000,,,,,87600000,,,,,109000000,,,,,130000000,,,,,123000000,,,,,98700000,,,,,104000000,,,,,131000000,,,,,102000000,,,,,80800000,,,,,78500000,,,,,81900000,,,,,85300000,,,,,80300000,,,,,72800000,,,,,67600000,,,,,64900000,,,,,64100000,,,,,63700000,,,,,62100000,,,,,59200000,,,,,56200000,,,,,54200000,,,,,53200000,,,,,52600000,,,,,51600000,,,,,50100000
Colombia,1220000,,,,,1350000,,,,,1570000,,,,,1990000,,,,,2460000,,,,,2850000,,,,,3310000,,,,,3640000,,,,,3500000,,,,,3840000,,,,,4160000,,,,,4230000,,,,,4260000,,,,,4070000,,,,,4040000,,,,,3860000,,,,,3670000,,,,,3520000,,,,,3340000,,,,,3200000,,,,,3060000,,,,,2940000,,,,,2840000,,,,,2730000,,,,,2640000,,,,,2540000,,,,,2460000,,,,,2390000,,,,,2320000,,,,,2250000,,,,,2190000
Comoros,16100,,,,,17400,,,,,17900,,,,,18200,,,,,23000,,,,,27300,,,,,32700,,,,,36900,,,,,42200,,,,,50100,,,,,60600,,,,,69100,,,,,74900,,,,,81400,,,,,89600,,,,,100000,,,,,111000,,,,,117000,,,,,123000,,,,,128000,,,,,134000,,,,,140000,,,,,144000,,,,,148000,,,,,150000,,,,,152000,,,,,153000,,,,,154000,,,,,154000,,,,,153000,,,,,151000
"Congo, Dem. Rep.",1240000,,,,,1400000,,,,,1600000,,,,,1810000,,,,,2000000,,,,,2300000,,,,,2680000,,,,,3070000,,,,,3550000,,,,,4270000,,,,,4880000,,,,,5680000,,,,,6670000,,,,,7840000,,,,,9470000,,,,,11400000,,,,,13400000,,,,,15100000,,,,,16800000,,,,,18700000,,,,,20400000,,,,,22000000,,,,,23300000,,,,,24300000,,,,,25200000,,,,,25900000,,,,,26500000,,,,,26800000,,,,,26900000,,,,,26900000,,,,,26700000
"Congo, Rep.",82100,,,,,90200,,,,,100000,,,,,113000,,,,,132000,,,,,157000,,,,,186000,,,,,222000,,,,,264000,,,,,308000,,,,,344000,,,,,378000,,,,,423000,,,,,491000,,,,,587000,,,,,703000,,,,,793000,,,,,840000,,,,,916000,,,,,1020000,,,,,1130000,,,,,1220000,,,,,1300000,,,,,1360000,,,,,1440000,,,,,1520000,,,,,1590000,,,,,1650000,,,,,1690000,,,,,1730000,,,,,1760000
Costa Rica,95600,,,,,111000,,,,,132000,,,,,168000,,,,,185000,,,,,238000,,,,,282000,,,,,289000,,,,,278000,,,,,327000,,,,,382000,,,,,410000,,,,,412000,,,,,397000,,,,,363000,,,,,362000,,,,,351000,,,,,342000,,,,,327000,,,,,314000,,,,,303000,,,,,293000,,,,,286000,,,,,279000,,,,,272000,,,,,264000,,,,,257000,,,,,251000,,,,,246000,,,,,241000,,,,,236000
Cote d'Ivoire,277000,,,,,314000,,,,,346000,,,,,385000,,,,,476000,,,,,614000,,,,,772000,,,,,966000,,,,,1210000,,,,,1530000,,,,,1750000,,,,,1910000,,,,,2180000,,,,,2540000,,,,,2810000,,,,,3100000,,,,,3520000,,,,,3950000,,,,,4350000,,,,,4740000,,,,,5150000,,,,,5560000,,,,,5970000,,,,,6360000,,,,,6730000,,,,,7090000,,,,,7420000,,,,,7730000,,,,,7990000,,,,,8230000,,,,,8430000
Croatia,366000,,,,,342000,,,,,296000,,,,,377000,,,,,396000,,,,,368000,,,,,345000,,,,,321000,,,,,334000,,,,,317000,,,,,302000,,,,,283000,,,,,241000,,,,,241000,,,,,203000,,,,,215000,,,,,202000,,,,,185000,,,,,172000,,,,,164000,,,,,158000,,,,,156000,,,,,154000,,,,,148000,,,,,141000,,,,,135000,,,,,131000,,,,,129000,,,,,127000,,,,,125000,,,,,121000
Cuba,570000,,,,,652000,,,,,697000,,,,,720000,,,,,825000,,,,,825000,,,,,1170000,,,,,1160000,,,,,1090000,,,,,762000,,,,,746000,,,,,851000,,,,,749000,,,,,700000,,,,,618000,,,,,573000,,,,,606000,,,,,587000,,,,,567000,,,,,535000,,,,,506000,,,,,488000,,,,,481000,,,,,474000,,,,,461000,,,,,443000,,,,,426000,,,,,413000,,,,,404000,,,,,397000,,,,,388000
Cyprus,45700,,,,,47300,,,,,47600,,,,,59300,,,,,58000,,,,,59800,,,,,60500,,,,,57800,,,,,57400,,,,,64200,,,,,76900,,,,,81100,,,,,87200,,,,,78000,,,,,73900,,,,,74000,,,,,73600,,,,,70500,,,,,66500,,,,,65100,,,,,65400,,,,,66100,,,,,66200,,,,,65300,,,,,64100,,,,,63300,,,,,63300,,,,,63500,,,,,63500,,,,,63000,,,,,62200
Czech Republic,620000,,,,,551000,,,,,722000,,,,,884000,,,,,849000,,,,,718000,,,,,679000,,,,,680000,,,,,843000,,,,,892000,,,,,692000,,,,,651000,,,,,607000,,,,,456000,,,,,484000,,,,,576000,,,,,559000,,,,,544000,,,,,514000,,,,,477000,,,,,460000,,,,,480000,,,,,503000,,,,,504000,,,,,489000,,,,,469000,,,,,455000,,,,,454000,,,,,463000,,,,,468000,,,,,463000
Denmark,292000,,,,,311000,,,,,381000,,,,,415000,,,,,373000,,,,,370000,,,,,396000,,,,,392000,,,,,367000,,,,,322000,,,,,280000,,,,,309000,,,,,353000,,,,,360000,,,,,339000,,,,,346000,,,,,310000,,,,,324000,,,,,346000,,,,,359000,,,,,359000,,,,,352000,,,,,345000,,,,,346000,,,,,354000,,,,,362000,,,,,364000,,,,,359000,,,,,354000,,,,,351000,,,,,352000
Djibouti,6490,,,,,7540,,,,,9270,,,,,13000,,,,,15000,,,,,21400,,,,,41300,,,,,46700,,,,,62000,,,,,70000,,,,,76200,,,,,93000,,,,,93700,,,,,97100,,,,,98200,,,,,95700,,,,,97800,,,,,98900,,,,,99300,,,,,98200,,,,,95500,,,,,92200,,,,,89400,,,,,87400,,,,,85600,,,,,83800,,,,,81500,,,,,79200,,,,,76800,,,,,75000,,,,,73400
Dominican Republic,261000,,,,,287000,,,,,304000,,,,,372000,,,,,485000,,,,,593000,,,,,678000,,,,,735000,,,,,782000,,,,,827000,,,,,894000,,,,,939000,,,,,979000,,,,,975000,,,,,1010000,,,,,1020000,,,,,1020000,,,,,999000,,,,,972000,,,,,942000,,,,,909000,,,,,874000,,,,,837000,,,,,801000,,,,,766000,,,,,733000,,,,,704000,,,,,677000,,,,,651000,,,,,626000,,,,,603000
