country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,885000,,,,,965000,,,,,1070000,,,,,1140000,,,,,1320000,,,,,1530000,,,,,1640000,,,,,1480000,,,,,1590000,,,,,2200000,,,,,2590000,,,,,3170000,,,,,3910000,,,,,4640000,,,,,5110000,,,,,5130000,,,,,5350000,,,,,5460000,,,,,5540000,,,,,5560000,,,,,5500000,,,,,5370000,,,,,5190000,,,,,5020000,,,,,4850000,,,,,4670000,,,,,4510000,,,,,4330000,,,,,4160000,,,,,4010000,,,,,3870000
Albania,147000,,,,,156000,,,,,170000,,,,,213000,,,,,264000,,,,,302000,,,,,307000,,,,,321000,,,,,331000,,,,,327000,,,,,339000,,,,,319000,,,,,273000,,,,,196000,,,,,158000,,,,,169000,,,,,164000,,,,,162000,,,,,153000,,,,,138000,,,,,124000,,,,,116000,,,,,113000,,,,,110000,,,,,104000,,,,,96800,,,,,89300,,,,,83900,,,,,80800,,,,,78300,,,,,75200
Algeria,1050000,,,,,1120000,,,,,1210000,,,,,1630000,,,,,1880000,,,,,2200000,,,,,2490000,,,,,2910000,,,,,3410000,,,,,3800000,,,,,3910000,,,,,3670000,,,,,3030000,,,,,2920000,,,,,3830000,,,,,4640000,,,,,4360000,,,,,4000000,,,,,3670000,,,,,3550000,,,,,3660000,,,,,3850000,,,,,3920000,,,,,3780000,,,,,3540000,,,,,3380000,,,,,3350000,,,,,3380000,,,,,3400000,,,,,3340000,,,,,3230000
Angola,515000,,,,,539000,,,,,577000,,,,,793000,,,,,841000,,,,,946000,,,,,1080000,,,,,1320000,,,,,1570000,,,,,1820000,,,,,2120000,,,,,2480000,,,,,2930000,,,,,3580000,,,,,4330000,,,,,4960000,,,,,5600000,,,,,6330000,,,,,7120000,,,,,7930000,,,,,8720000,,,,,9460000,,,,,10200000,,,,,10800000,,,,,11500000,,,,,12100000,,,,,12700000,,,,,13200000,,,,,13600000,,,,,14000000,,,,,14300000
Antigua and Barbuda,5550,,,,,5980,,,,,6750,,,,,8180,,,,,8690,,,,,8840,,,,,9210,,,,,7930,,,,,5830,,,,,7770,,,,,8370,,,,,8290,,,,,8640,,,,,8410,,,,,8090,,,,,8010,,,,,8080,,,,,8100,,,,,7970,,,,,7720,,,,,7490,,,,,7330,,,,,7230,,,,,7140,,,,,7000,,,,,6830,,,,,6660,,,,,6520,,,,,6420,,,,,6320,,,,,6210
Argentina,1580000,,,,,1730000,,,,,1950000,,,,,2140000,,,,,2240000,,,,,2350000,,,,,2440000,,,,,2790000,,,,,3330000,,,,,3270000,,,,,3390000,,,,,3480000,,,,,3440000,,,,,3580000,,,,,3640000,,,,,3710000,,,,,3700000,,,,,3660000,,,,,3630000,,,,,3590000,,,,,3550000,,,,,3500000,,,,,3440000,,,,,3380000,,,,,3310000,,,,,3250000,,,,,3180000,,,,,3130000,,,,,3070000,,,,,3010000,,,,,2950000
Armenia,191000,,,,,113000,,,,,159000,,,,,249000,,,,,343000,,,,,364000,,,,,307000,,,,,305000,,,,,315000,,,,,311000,,,,,323000,,,,,262000,,,,,184000,,,,,174000,,,,,198000,,,,,205000,,,,,184000,,,,,160000,,,,,142000,,,,,134000,,,,,135000,,,,,135000,,,,,128000,,,,,118000,,,,,108000,,,,,103000,,,,,101000,,,,,101000,,,,,97900,,,,,92700,,,,,87200
Australia,584000,,,,,738000,,,,,981000,,,,,1070000,,,,,1240000,,,,,1290000,,,,,1270000,,,,,1340000,,,,,1240000,,,,,1300000,,,,,1340000,,,,,1410000,,,,,1390000,,,,,1420000,,,,,1610000,,,,,1700000,,,,,1800000,,,,,1810000,,,,,1810000,,,,,1820000,,,,,1880000,,,,,1960000,,,,,2030000,,,,,2060000,,,,,2070000,,,,,2080000,,,,,2090000,,,,,2120000,,,,,2150000,,,,,2160000,,,,,2160000
Austria,502000,,,,,557000,,,,,506000,,,,,485000,,,,,579000,,,,,647000,,,,,624000,,,,,507000,,,,,433000,,,,,478000,,,,,467000,,,,,489000,,,,,440000,,,,,416000,,,,,404000,,,,,414000,,,,,434000,,,,,437000,,,,,423000,,,,,404000,,,,,393000,,,,,395000,,,,,405000,,,,,412000,,,,,410000,,,,,402000,,,,,393000,,,,,389000,,,,,390000,,,,,392000,,,,,392000
Azerbaijan,401000,,,,,250000,,,,,325000,,,,,512000,,,,,674000,,,,,813000,,,,,759000,,,,,682000,,,,,681000,,,,,790000,,,,,929000,,,,,891000,,,,,721000,,,,,638000,,,,,698000,,,,,861000,,,,,796000,,,,,697000,,,,,640000,,,,,641000,,,,,652000,,,,,643000,,,,,616000,,,,,585000,,,,,562000,,,,,551000,,,,,546000,,,,,537000,,,,,522000,,,,,506000,,,,,491000
Bahamas,8980,,,,,9790,,,,,13100,,,,,16700,,,,,21400,,,,,25600,,,,,25600,,,,,27000,,,,,25500,,,,,29200,,,,,28600,,,,,29200,,,,,29600,,,,,24900,,,,,27200,,,,,28100,,,,,28100,,,,,27700,,,,,26800,,,,,25700,,,,,25100,,,,,25200,,,,,25500,,,,,25400,,,,,24900,,,,,24300,,,,,23900,,,,,23700,,,,,23600,,,,,23500,,,,,23200
Bahrain,12800,,,,,15500,,,,,18500,,,,,26000,,,,,29200,,,,,30400,,,,,34900,,,,,37400,,,,,43200,,,,,51900,,,,,56700,,,,,67800,,,,,77300,,,,,84000,,,,,95700,,,,,106000,,,,,109000,,,,,113000,,,,,115000,,,,,116000,,,,,109000,,,,,103000,,,,,101000,,,,,101000,,,,,102000,,,,,101000,,,,,99000,,,,,96400,,,,,94300,,,,,93600,,,,,93300
