country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,1170000,,,,,1200000,,,,,1270000,,,,,1370000,,,,,1510000,,,,,1660000,,,,,1680000,,,,,1360000,,,,,1410000,,,,,2010000,,,,,2320000,,,,,2810000,,,,,3240000,,,,,3940000,,,,,4810000,,,,,5870000,,,,,7070000,,,,,8520000,,,,,10300000,,,,,12400000,,,,,14600000,,,,,16400000,,,,,17700000,,,,,18600000,,,,,19100000,,,,,19600000,,,,,19900000,,,,,19900000,,,,,19700000,,,,,19300000,,,,,18800000
Albania,194000,,,,,222000,,,,,245000,,,,,276000,,,,,315000,,,,,360000,,,,,423000,,,,,490000,,,,,551000,,,,,567000,,,,,656000,,,,,739000,,,,,761000,,,,,796000,,,,,770000,,,,,750000,,,,,742000,,,,,756000,,,,,790000,,,,,754000,,,,,692000,,,,,629000,,,,,545000,,,,,515000,,,,,513000,,,,,488000,,,,,454000,,,,,415000,,,,,382000,,,,,362000,,,,,349000
Algeria,1380000,,,,,1500000,,,,,1570000,,,,,1660000,,,,,1810000,,,,,2050000,,,,,2270000,,,,,2550000,,,,,2890000,,,,,3560000,,,,,4430000,,,,,5540000,,,,,6710000,,,,,7840000,,,,,9300000,,,,,11000000,,,,,12500000,,,,,13500000,,,,,13400000,,,,,12700000,,,,,12800000,,,,,13800000,,,,,15200000,,,,,16200000,,,,,16100000,,,,,15100000,,,,,14500000,,,,,14400000,,,,,14600000,,,,,14900000,,,,,14800000
Angola,673000,,,,,739000,,,,,804000,,,,,868000,,,,,925000,,,,,1000000,,,,,1090000,,,,,1210000,,,,,1300000,,,,,1560000,,,,,1840000,,,,,2230000,,,,,2700000,,,,,3230000,,,,,3920000,,,,,4730000,,,,,5710000,,,,,6820000,,,,,8110000,,,,,9750000,,,,,11800000,,,,,14100000,,,,,16500000,,,,,19100000,,,,,21700000,,,,,24500000,,,,,27500000,,,,,30500000,,,,,33400000,,,,,36300000,,,,,39000000
Antigua and Barbuda,6810,,,,,8210,,,,,8480,,,,,8480,,,,,9080,,,,,8560,,,,,9320,,,,,10000,,,,,8940,,,,,12200,,,,,16000,,,,,17900,,,,,24200,,,,,27500,,,,,28100,,,,,28600,,,,,27400,,,,,28100,,,,,30500,,,,,31700,,,,,32200,,,,,32100,,,,,31700,,,,,31600,,,,,31600,,,,,31400,,,,,30900,,,,,30300,,,,,29600,,,,,29100,,,,,28800
Argentina,3530000,,,,,4000000,,,,,4420000,,,,,4850000,,,,,5280000,,,,,5620000,,,,,5870000,,,,,6120000,,,,,6460000,,,,,6990000,,,,,7590000,,,,,8150000,,,,,8650000,,,,,9280000,,,,,10300000,,,,,11100000,,,,,12000000,,,,,12700000,,,,,12900000,,,,,13300000,,,,,13600000,,,,,13900000,,,,,14200000,,,,,14300000,,,,,14300000,,,,,14200000,,,,,14100000,,,,,14000000,,,,,13800000,,,,,13600000,,,,,13400000
Armenia,226000,,,,,259000,,,,,264000,,,,,284000,,,,,386000,,,,,485000,,,,,639000,,,,,648000,,,,,636000,,,,,621000,,,,,653000,,,,,764000,,,,,760000,,,,,750000,,,,,715000,,,,,735000,,,,,823000,,,,,876000,,,,,846000,,,,,765000,,,,,685000,,,,,650000,,,,,651000,,,,,640000,,,,,588000,,,,,524000,,,,,481000,,,,,461000,,,,,453000,,,,,442000,,,,,421000
Australia,1880000,,,,,2100000,,,,,2310000,,,,,2580000,,,,,2870000,,,,,2930000,,,,,3040000,,,,,3250000,,,,,3770000,,,,,4350000,,,,,4990000,,,,,5590000,,,,,5880000,,,,,6240000,,,,,6400000,,,,,6700000,,,,,7110000,,,,,7400000,,,,,7650000,,,,,7690000,,,,,7820000,,,,,8040000,,,,,8430000,,,,,8800000,,,,,8970000,,,,,9050000,,,,,9070000,,,,,9140000,,,,,9270000,,,,,9420000,,,,,9510000
Austria,1970000,,,,,1990000,,,,,1800000,,,,,1760000,,,,,1700000,,,,,1660000,,,,,1800000,,,,,1870000,,,,,1950000,,,,,1960000,,,,,2130000,,,,,2300000,,,,,2510000,,,,,2620000,,,,,2550000,,,,,2460000,,,,,2360000,,,,,2360000,,,,,2330000,,,,,2210000,,,,,2090000,,,,,1980000,,,,,1960000,,,,,1980000,,,,,1990000,,,,,1980000,,,,,1930000,,,,,1870000,,,,,1840000,,,,,1830000,,,,,1840000
Azerbaijan,485000,,,,,545000,,,,,536000,,,,,576000,,,,,744000,,,,,905000,,,,,1130000,,,,,1160000,,,,,1130000,,,,,1190000,,,,,1380000,,,,,1870000,,,,,2260000,,,,,2470000,,,,,2550000,,,,,2670000,,,,,2950000,,,,,3180000,,,,,3210000,,,,,3020000,,,,,2790000,,,,,2780000,,,,,2860000,,,,,2920000,,,,,2860000,,,,,2660000,,,,,2530000,,,,,2490000,,,,,2470000,,,,,2420000,,,,,2340000
