country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,2230000,,,,,2380000,,,,,2580000,,,,,2820000,,,,,3110000,,,,,3420000,,,,,3570000,,,,,3180000,,,,,3230000,,,,,4460000,,,,,5170000,,,,,6740000,,,,,7650000,,,,,9470000,,,,,11300000,,,,,13500000,,,,,15800000,,,,,17600000,,,,,18900000,,,,,19800000,,,,,20200000,,,,,20700000,,,,,20900000,,,,,20900000,,,,,20600000,,,,,20100000,,,,,19500000,,,,,18900000,,,,,18300000,,,,,17700000,,,,,17000000
Albania,339000,,,,,384000,,,,,448000,,,,,517000,,,,,579000,,,,,669000,,,,,786000,,,,,932000,,,,,1070000,,,,,933000,,,,,903000,,,,,830000,,,,,795000,,,,,829000,,,,,862000,,,,,825000,,,,,761000,,,,,696000,,,,,608000,,,,,575000,,,,,570000,,,,,542000,,,,,504000,,,,,461000,,,,,425000,,,,,401000,,,,,386000,,,,,370000,,,,,350000,,,,,328000,,,,,308000
Algeria,2440000,,,,,2610000,,,,,2900000,,,,,3160000,,,,,3490000,,,,,4100000,,,,,4950000,,,,,6180000,,,,,7560000,,,,,8860000,,,,,10300000,,,,,11800000,,,,,13100000,,,,,14000000,,,,,13900000,,,,,13100000,,,,,13200000,,,,,14200000,,,,,15500000,,,,,16600000,,,,,16400000,,,,,15400000,,,,,14700000,,,,,14600000,,,,,14800000,,,,,15100000,,,,,15000000,,,,,14500000,,,,,13900000,,,,,13600000,,,,,13400000
Angola,1370000,,,,,1470000,,,,,1550000,,,,,1620000,,,,,1670000,,,,,1950000,,,,,2290000,,,,,2770000,,,,,3220000,,,,,3760000,,,,,4400000,,,,,5260000,,,,,6310000,,,,,7520000,,,,,8870000,,,,,10600000,,,,,12700000,,,,,15200000,,,,,17700000,,,,,20400000,,,,,23200000,,,,,26100000,,,,,29200000,,,,,32300000,,,,,35300000,,,,,38200000,,,,,40900000,,,,,43600000,,,,,46100000,,,,,48400000,,,,,50500000
Antigua and Barbuda,14400,,,,,15500,,,,,13400,,,,,15800,,,,,18200,,,,,21900,,,,,24700,,,,,24100,,,,,23800,,,,,25900,,,,,29000,,,,,30000,,,,,28600,,,,,29100,,,,,31600,,,,,32700,,,,,33100,,,,,32900,,,,,32400,,,,,32100,,,,,32000,,,,,31800,,,,,31200,,,,,30500,,,,,29800,,,,,29200,,,,,28800,,,,,28300,,,,,27700,,,,,27100,,,,,26600
Argentina,5610000,,,,,6000000,,,,,6290000,,,,,6560000,,,,,6940000,,,,,7570000,,,,,8020000,,,,,8610000,,,,,9180000,,,,,9830000,,,,,10800000,,,,,11700000,,,,,12500000,,,,,13200000,,,,,13400000,,,,,13700000,,,,,14000000,,,,,14300000,,,,,14500000,,,,,14600000,,,,,14600000,,,,,14500000,,,,,14400000,,,,,14200000,,,,,14000000,,,,,13800000,,,,,13600000,,,,,13300000,,,,,13100000,,,,,12800000,,,,,12600000
Armenia,361000,,,,,446000,,,,,608000,,,,,656000,,,,,677000,,,,,792000,,,,,924000,,,,,1120000,,,,,1200000,,,,,993000,,,,,867000,,,,,845000,,,,,886000,,,,,944000,,,,,913000,,,,,828000,,,,,742000,,,,,701000,,,,,700000,,,,,687000,,,,,631000,,,,,562000,,,,,515000,,,,,492000,,,,,482000,,,,,468000,,,,,445000,,,,,416000,,,,,392000,,,,,378000,,,,,371000
Australia,2550000,,,,,2670000,,,,,2830000,,,,,3000000,,,,,3560000,,,,,4070000,,,,,4600000,,,,,5150000,,,,,5500000,,,,,5700000,,,,,5650000,,,,,5720000,,,,,6360000,,,,,6750000,,,,,7040000,,,,,7070000,,,,,7190000,,,,,7400000,,,,,7800000,,,,,8190000,,,,,8390000,,,,,8500000,,,,,8540000,,,,,8650000,,,,,8810000,,,,,8990000,,,,,9110000,,,,,9160000,,,,,9160000,,,,,9160000,,,,,9170000
Austria,1860000,,,,,1760000,,,,,1870000,,,,,1920000,,,,,1990000,,,,,2080000,,,,,2160000,,,,,2240000,,,,,2400000,,,,,2580000,,,,,2450000,,,,,2320000,,,,,2200000,,,,,2270000,,,,,2240000,,,,,2110000,,,,,1980000,,,,,1860000,,,,,1850000,,,,,1870000,,,,,1890000,,,,,1880000,,,,,1830000,,,,,1780000,,,,,1750000,,,,,1750000,,,,,1760000,,,,,1760000,,,,,1740000,,,,,1710000,,,,,1680000
Azerbaijan,787000,,,,,984000,,,,,1250000,,,,,1310000,,,,,1280000,,,,,1400000,,,,,1650000,,,,,2150000,,,,,2450000,,,,,2630000,,,,,2660000,,,,,2770000,,,,,3080000,,,,,3330000,,,,,3370000,,,,,3170000,,,,,2920000,,,,,2890000,,,,,2960000,,,,,3020000,,,,,2960000,,,,,2750000,,,,,2610000,,,,,2560000,,,,,2530000,,,,,2480000,,,,,2390000,,,,,2300000,,,,,2230000,,,,,2180000,,,,,2150000
